Company,Period of Report,Document Type,URL
Intuit Inc._1,2023-10-31,Earnings Release,https://investors.intuit.com/news-events/press-releases/detail/20/intuit-reports-strong-first-quarter-results-and-reiterates-full-year-guidance
Intuit Inc._2,2024-01-31,Earnings Release,https://investors.intuit.com/news-events/press-releases/detail/11/intuit-reports-strong-second-quarter-results-and-reiterates-full-year-guidance
Intuit Inc._3,2024-01-30,Earnings Release,https://investors.intuit.com/news-events/press-releases/detail/1188/intuit-reports-strong-third-quarter-results-and-raises-full-year-guidance
Intuit Inc._4,2024-07-31,Earnings Release,https://investors.intuit.com/news-events/press-releases/detail/1202/intuit-reports-strong-fourth-quarter-and-full-year-results-sets-fiscal-2025-guidance-with-double-digit-revenue-and-earnings-growth
"Amazon.com, Inc._1",2024-04-30,Earnings Release,http://ir.aboutamazon.com/news-release/news-release-details/2024/Amazon.com-Announces-First-Quarter-Results-68b9258cd
"Amazon.com, Inc._2",2024-08-24,Earnings Release,https://ir.aboutamazon.com/news-release/news-release-details/2024/Amazon.com-Announces-Second-Quarter-Results/default.aspx
"Amazon.com, Inc._3",2024-10-31,Earnings Release,http://ir.aboutamazon.com/news-release/news-release-details/2024/Amazon-com-Announces-Third-Quarter-Results
"Amazon.com, Inc._4",2025-02-06,Earnings Release,http://ir.aboutamazon.com/news-release/news-release-details/2025/Amazon-com-Announces-Fourth-Quarter-Results
Forbes,2026-02-25,Report,https://www.forbes.com/sites/johnkoetsier/2026/02/25/report-jobs-that-are-most-and-least-impacted-by-ai/
Thomsonreuters,2025-10-22,Report,https://www.thomsonreuters.com/en-us/posts/corporates/supply-chains-reaction-tariffs/
Microsoft_1,2024-10-24,Earnings Release FY24 Q1,https://www.microsoft.com/en-us/Investor/earnings/FY-2024-Q1/press-release-webcast
Tesla,2026-01-02,"Tesla Fourth Quarter 2025 Production, Deliveries & Deployments",https://ir.tesla.com/press-release/tesla-fourth-quarter-2025-production-deliveries-deployments
Microsoft_2,2023-06-25,Earnings Release FY23 Q1,https://www.microsoft.com/en-us/Investor/earnings/FY-2023-Q1/press-release-webcast
Microsoft_3,2023-08-25,Earnings Release FY23 Q2,https://www.microsoft.com/en-us/Investor/earnings/FY-2023-Q2/press-release-webcast
Investopedia,2026-02-23,Tariff Concerns Resurface on Wall Street: What Are the Implications for Investors?,https://www.investopedia.com/tariff-concerns-resurface-on-wall-street-what-are-the-implications-for-investors-11912146
